date,symbol,name,base_adjusted_price,current_adjusted_price,ratio,return_pct,note
2026-04-15,8306,三菱ＵＦＪＦＧ,2545.000000,2913.500000,1.144793713,14.479371,
2026-04-15,4063,信越化学工業,4944.000000,6809.000000,1.377224919,37.722492,
2026-04-15,3436,SUMCO,1449.000000,2238.500000,1.544858523,54.485852,
2026-04-15,4004,レゾナックHD,6751.000000,12875.000000,1.907124870,90.712487,
2026-04-15,6963,ローム,2277.500000,3727.000000,1.636443469,63.644347,
2026-04-15,6890,フェローテック,5140.000000,6760.000000,1.315175097,31.517510,
2026-04-15,6525,KOKUSAI ELECTRIC,5949.000000,7084.000000,1.190788368,19.078837,
2026-04-15,5803,フジクラ,3074.166667,5683.000000,1.848631065,84.863107,base price divided by 6 for 2026-04-01 1-to-6 split
2026-04-15,5016,JX金属,2020.000000,4893.000000,2.422277228,142.227723,
2026-04-15,1812,鹿島建設,6010.000000,6135.000000,1.020798669,2.079867,
2026-04-15,2914,JT,5636.000000,5897.000000,1.046309439,4.630944,
2026-04-15,1605,INPEX,3116.000000,4035.000000,1.294929397,29.492940,
2026-04-15,8006,ユアサ・フナショク,1587.000000,1557.000000,0.981096408,-1.890359,
